product_prices,product_page_links,product_ids,image_links
5.99,/en_ca/productpage.0737169001.html,737169001,"//lp2.hm.com/hmgoepprod?set=source[/23/5a/235a21cbeefad4629f39018288d8ac78c060780e.jpg],origin[dam],category[kids_babygirl_accessories],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/main]"
6.99,/en_ca/productpage.0825772016.html,825772016,"//lp2.hm.com/hmgoepprod?set=source[/aa/bb/aabb0e824834f5346787f4605f363d809d6a49a9.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/main]"
7.99,/en_ca/productpage.1073387011.html,1073387011,"//lp2.hm.com/hmgoepprod?set=source[/51/c5/51c5532c77c262afcaa16ffb22126d29ac4d8b18.jpg],origin[dam],category[kids_baby_boy_accessories_hats],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/main]"
7.99,/en_ca/productpage.1121496001.html,1121496001,"//lp2.hm.com/hmgoepprod?set=source[/2e/17/2e171a261c21eec022e4d92cedde293d13c229b3.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/main]"
6.99,/en_ca/productpage.1120859001.html,1120859001,"//lp2.hm.com/hmgoepprod?set=source[/98/60/9860d3cff9d5ec80234d11d313350f8afb8501b3.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/main]"
9.99,/en_ca/productpage.0930385010.html,930385010,"//lp2.hm.com/hmgoepprod?set=source[/1a/d0/1ad024dac5aa799420859395f59fa2de932bdf00.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/main]"
6.99,/en_ca/productpage.0825772001.html,825772001,"//lp2.hm.com/hmgoepprod?set=source[/8c/93/8c934a8eace2c954919edbdb0ffe235390bc0eaf.jpg],origin[dam],category[kids_babygirl_accessories],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/main]"
6.99,/en_ca/productpage.0825772002.html,825772002,"//lp2.hm.com/hmgoepprod?set=source[/da/a3/daa3803d0e83071865f049b91b835425f0439344.jpg],origin[dam],category[kids_babygirl_accessories],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/main]"
19.99,/en_ca/productpage.1005924003.html,1005924003,"//lp2.hm.com/hmgoepprod?set=source[/e6/d0/e6d0e16d579485f4f7c90b105e2432125bc4046d.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/main]"
6.99,/en_ca/productpage.0862642006.html,862642006,"//lp2.hm.com/hmgoepprod?set=source[/5c/13/5c13f287e775a492ddd09eec20aed0e15b1b0619.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/main]"
